スナップショットの日付,sku,FNSKU,asin,商品名,コンディション,在庫あり,返送/所有権の放棄処理中の数量,保管日数0～90日の在庫数,保管日数91～180日の在庫数,保管日数181～270日の在庫数,保管日数271～365日の在庫数,保管日数365日超の在庫数,通貨,過去7日間に販売された在庫数,過去30日間に販売された在庫数,過去60日間に販売された在庫数,過去90日間に販売された在庫数,注意,販売価格,セール価格,新品の最低価格,中古の最低価格,推奨されるアクション,非推奨の健全な在庫レベル,推奨される販売価格,推奨セール期間,推奨される返送/所有権の放棄の数量,推奨されるアクションによる費用削減の概算,FBA販売率,商品の容量,容量単位,保管タイプ,保管容量,ストア,商品グループ,売上ランキング,在庫保管日数,余剰在庫の推定数,在庫完売までの週数（過去30日間）,在庫完売までの週数（過去90日間）,おすすめ商品の価格,過去7日間に出荷された売上,過去30日間に出荷された売上,過去60日間に出荷された売上,過去90日間に出荷された売上,保管日数0～30日の在庫数,保管日数31～60日の在庫数,保管日数61～90日の在庫数,保管日数181～330日の在庫数,保管日数331～365日の在庫数,保管手数料の見積り（次の30日間）,納品数,納品数（進行中）,納品数（受領済み）,納品数（出荷済み）,入出荷作業中の合計数量,販売不可の数量,quantity-to-be-charged-ais-271-300-days,estimated-ais-271-300-days,quantity-to-be-charged-ais-301-330-days,estimated-ais-301-330-days,quantity-to-be-charged-ais-331-365-days,estimated-ais-331-365-days,quantity-to-be-charged-ais-365-plus-days,estimated-ais-365-plus-days,historical-days-of-supply,推奨される納品数,推奨される納品日,過去在庫日数の最終更新日,低在庫レベル手数料が免除されますか？,今週、低在庫レベルの手数料の対象になりますか？,短期の過去在庫日数,長期の過去在庫日数,在庫の保管日数の計算日,FBAの在庫数,Reserved FC Transfer,Reserved FC Processing,Reserved Customer Order,在庫日数の合計（受領中の商品も含む）,仕入れ先,is-seasonal-in-next-3-months,season-name,season-start-date,season-end-date
2026/4/6,77-MU3Q-RYHJ,X001D0NE6N,B0GTPFHXKS,推しぬいワッペン 顔パーツ ジト目 (オレンジ),New,4,0,4,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,4,0,0,0,880.92,0,1.5E-5,cubic meter,Standard,6.0E-5,JP,gl_toy,,103,0,,,,,,,,4,0,0,0,0,0.28,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,4,0,0,0,103,--,N,,,
2026/4/6,94-AFPD-Z7KZ,X001D0VARX,B0GTP44GHN,推しぬいワッペン 顔パーツ ジト目 (グリーン),New,3,0,3,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,3,0,0,0,660.69,0,1.5E-5,cubic meter,Standard,4.5E-5,JP,gl_toy,,80,0,,,,,,,,3,0,0,0,0,0.21,0,0,0,0,0,0,,,,,,,,,,1,2026/4/5,,,,,,2026/4/4,3,0,0,0,80,--,N,,,
2026/4/6,CX-7Y7U-WV35,X001D0UTJD,B0GTPN99X3,推しぬいワッペン 顔パーツ ジト目 (グレー),New,5,0,5,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,,,0,0,,0,1.5E-5,cubic meter,Standard,7.5E-5,JP,gl_toy,,126,0,,,730,,,,,5,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,5,0,0,0,126,--,N,,,
2026/4/6,CL-L6NF-9O3B,X001D0UX53,B0GTNNFKTQ,推しぬいワッペン 顔パーツ ジト目 (パープル),New,1,0,1,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,1,0,0,0,220.23,0,1.5E-5,cubic meter,Standard,1.5E-5,JP,gl_toy,,35,0,,,,,,,,1,0,0,0,0,0.07,0,0,0,0,0,0,,,,,,,,,,3,2026/4/5,,,,,,2026/4/4,1,0,0,0,35,--,N,,,
2026/4/6,NM-Z630-DU6I,X001D0VAXR,B0GTP41MP2,推しぬいワッペン 顔パーツ ジト目 (ピンク),New,2,0,2,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,,,0,0,,0,1.5E-5,cubic meter,Standard,3.0E-5,JP,gl_toy,,58,0,,,,,,,,2,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,2,2026/4/5,,,,,,2026/4/4,2,0,0,0,58,--,N,,,
2026/4/6,B7-OCL2-RCNT,X001D0UOLB,B0GTP1XDK1,推しぬいワッペン 顔パーツ ジト目 (ブラウン),New,17,0,17,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,,,0,0,,0,1.5E-5,cubic meter,Standard,2.55E-4,JP,gl_toy,,366,0,,,,,,,,17,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,17,0,0,0,366,--,N,,,
2026/4/6,GE-EHU8-J1DW,X001D0NEAJ,B0GTNSHL56,推しぬいワッペン 顔パーツ ジト目 (ブラック),New,27,0,27,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,27,0,0,0,5946.24,0,1.5E-5,cubic meter,Standard,4.05E-4,JP,gl_toy,,366,0,,,,,,,,27,0,0,0,0,1.92,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,27,0,0,0,366,--,N,,,
2026/4/6,5Y-JCA0-SUA7,X001D0UOLV,B0GTPDC72Q,推しぬいワッペン 顔パーツ たれ目 (イエロー),New,5,0,5,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,5,0,0,0,1101.15,0,1.5E-5,cubic meter,Standard,7.5E-5,JP,gl_toy,,126,0,,,,,,,,5,0,0,0,0,0.36,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,5,0,0,0,126,--,N,,,
2026/4/6,S1-6M91-RI35,X001D0NE4Z,B0GTP363FJ,推しぬいワッペン 顔パーツ たれ目 (オレンジ),New,4,0,4,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,,,0,0,,0,1.5E-5,cubic meter,Standard,6.0E-5,JP,gl_toy,,103,0,,,730,,,,,4,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,4,0,0,0,103,--,N,,,
2026/4/6,MC-F9G3-6QFY,X001D0UOHP,B0GTPHJCWN,推しぬいワッペン 顔パーツ たれ目 (グリーン),New,5,0,5,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,5,0,0,0,1101.15,0,1.5E-5,cubic meter,Standard,7.5E-5,JP,gl_toy,,126,0,,,730,,,,,5,0,0,0,0,0.36,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,5,0,0,0,126,--,N,,,
2026/4/6,4S-2ONM-HAOM,X001D0UHEF,B0GTP7D987,推しぬいワッペン 顔パーツ たれ目 (グレー),New,5,0,5,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,5,0,0,0,1101.15,0,1.5E-5,cubic meter,Standard,7.5E-5,JP,gl_toy,,126,0,,,,,,,,5,0,0,0,0,0.36,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,5,0,0,0,126,--,N,,,
2026/4/6,3K-0AV8-7WBC,X001D0S07B,B0GTPDB51W,推しぬいワッペン 顔パーツ たれ目 (パープル),New,2,0,2,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,2,0,0,0,440.46,0,1.5E-5,cubic meter,Standard,3.0E-5,JP,gl_toy,,58,0,,,,,,,,2,0,0,0,0,0.14,0,0,0,0,0,0,,,,,,,,,,2,2026/4/4,,,,,,2026/4/4,2,0,0,0,58,--,N,,,
2026/4/6,0D-IFWG-CFXI,X001D0S0ET,B0GTNQDSV9,推しぬいワッペン 顔パーツ たれ目 (ピンク),New,4,0,4,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,4,0,0,0,880.92,0,1.5E-5,cubic meter,Standard,6.0E-5,JP,gl_toy,,103,0,,,,,,,,4,0,0,0,0,0.28,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,4,0,0,0,103,--,N,,,
2026/4/6,F9-U4QV-9Z5L,X001D0RZZT,B0GTP5HNNL,推しぬいワッペン 顔パーツ たれ目 (ブラウン),New,25,0,25,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,25,0,0,0,5505.77,0,1.5E-5,cubic meter,Standard,3.75E-4,JP,gl_toy,,366,0,,,,,,,,25,0,0,0,0,1.78,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,2026/4/4,25,0,0,0,366,--,N,,,
2026/4/6,AU-2ERJ-NLZF,X001D0UOO3,B0GTPB4TF7,推しぬいワッペン 顔パーツ たれ目 (ブラック),New,28,0,28,0,0,0,0,JPY,,,,,Low traffic,730,0,730,0,出品商品の広告,,,0,0,,0,1.5E-5,cubic meter,Standard,4.2E-4,JP,gl_toy,,366,0,,,730,,,,,28,0,0,0,0,,1,0,0,1,0,0,,,,,,,,,,0,,,,,,,2026/4/4,29,0,0,0,366,--,N,,,
